ID,Country ,Country Code,YEAR,Population,Electricity 
ISL2016,Iceland,ISL,2016,335439,100
ISL2017,Iceland,ISL,2017,343400,100
ISL2018,Iceland,ISL,2018,352721,100
ISL2019,Iceland,ISL,2019,361313,0
ISL2020,Iceland,ISL,2020,364000,0
BLZ2016,Belize,BLZ,2016,368400,96.96377563
BLZ2017,Belize,BLZ,2017,375769,98.25115204
BHS2016,"Bahamas, The",BHS,2016,377931,100
BHS2017,"Bahamas, The",BHS,2017,381761,100
BLZ2018,Belize,BLZ,2018,383071,99.54001617
BHS2018,"Bahamas, The",BHS,2018,385640,100
BHS2019,"Bahamas, The",BHS,2019,389482,0
BLZ2019,Belize,BLZ,2019,390353,0
BHS2020,"Bahamas, The",BHS,2020,393000,0
BLZ2020,Belize,BLZ,2020,398000,0
BRN2016,Brunei Darussalam,BRN,2016,419800,100
BRN2017,Brunei Darussalam,BRN,2017,424473,100
BRN2018,Brunei Darussalam,BRN,2018,428962,100
BRN2019,Brunei Darussalam,BRN,2019,433285,0
BRN2020,Brunei Darussalam,BRN,2020,437000,0
MLT2016,Malta,MLT,2016,455356,100
MLT2017,Malta,MLT,2017,467999,100
MDV2016,Maldives,MDV,2016,475513,99.96524048
MLT2018,Malta,MLT,2018,484630,100
MDV2017,Maldives,MDV,2017,496402,99.8
MLT2019,Malta,MLT,2019,502653,0
MLT2020,Malta,MLT,2020,504000,0
MDV2018,Maldives,MDV,2018,515696,100
MDV2019,Maldives,MDV,2019,530953,0
CPV2016,Cabo Verde,CPV,2016,531146,89.24594879
CPV2017,Cabo Verde,CPV,2017,537497,91.4152298
MDV2020,Maldives,MDV,2020,541000,0
CPV2018,Cabo Verde,CPV,2018,543767,93.58599854
CPV2019,Cabo Verde,CPV,2019,549935,0
CPV2020,Cabo Verde,CPV,2020,556000,0
SUR2016,Suriname,SUR,2016,564883,96.06616974
SUR2017,Suriname,SUR,2017,570501,96.80492401
SUR2018,Suriname,SUR,2018,575987,97.4
SUR2019,Suriname,SUR,2019,581363,0
LUX2016,Luxembourg,LUX,2016,582014,100
SUR2020,Suriname,SUR,2020,587000,0
LUX2017,Luxembourg,LUX,2017,596336,100
LUX2018,Luxembourg,LUX,2018,607950,100
MAC2016,"Macao SAR, China",MAC,2016,612836,100
SLB2016,Solomon Islands,SLB,2016,619437,58.67827606
LUX2019,Luxembourg,LUX,2019,619896,0
MNE2020,Montenegro,MNE,2020,622000,0
MNE2019,Montenegro,MNE,2019,622137,0
MNE2018,Montenegro,MNE,2018,622227,100
MNE2016,Montenegro,MNE,2016,622303,100
MNE2017,Montenegro,MNE,2017,622373,100
MAC2017,"Macao SAR, China",MAC,2017,622585,100
LUX2020,Luxembourg,LUX,2020,629000,0
MAC2018,"Macao SAR, China",MAC,2018,631636,100
SLB2017,Solomon Islands,SLB,2017,636038,62.9
MAC2019,"Macao SAR, China",MAC,2019,640445,0
MAC2020,"Macao SAR, China",MAC,2020,649000,0
SLB2018,Solomon Islands,SLB,2018,652858,66.66609955
SLB2019,Solomon Islands,SLB,2019,669823,0
SLB2020,Solomon Islands,SLB,2020,687000,0
BTN2016,Bhutan,BTN,2016,736709,99.59632874
BTN2017,Bhutan,BTN,2017,745568,97.7
